Nombre y Apellido,Carrera,Promedio,Semestres cursados,Correo,Cedula,Sexo,Contraseña
Adriana Aldrich,Ingenieria Mecanica,17.54,1,adrianaaldrich@ejemplo.com,20250994,F,oCy9pVX]
Isabel Gonzalez,Licenciatura en Biologia,16.61,3,isabelgonzalez@ejemplo.com,22675722,F,[%#Bi4tT
Jose Johnson,Ingenieria Mecanica,12.97,1,josejohnson@ejemplo.com,18684358,M,s!nZA]Fg
Carlos Gibss,Licenciatura en Biologia,9.34,7,carlosgibss@ejemplo.com,18654867,M,Ibo}%Yz;
Miguel Hernandez,Licenciatura en Biologia,9.34,7,miguelhernandez@ejemplo.com,22627641,M,IqKPMjK[
Andreina Gibss,Licenciatura en Matematicas,18.22,6,andreinagibss@ejemplo.com,25445429,F,{3lNDyo!
Carolina Aldrich,Ingenieria Electrica,10.51,3,carolinaaldrich@ejemplo.com,23834265,F,WJS!}fdg
Richard Gonzalez,Ingenieria Electrica,12.97,5,richardgonzalez@ejemplo.com,19239028,M,yO]M9Ft9
Andreina Aldrich,Ingenieria Electrica,17.81,3,andreinaaldrich@ejemplo.com,24984023,F,W;7GwWoZ
Mary Brown,Letras,14.89,1,marybrown@ejemplo.com,21893978,F,7TBNg]kK
Natacha Aldrich,Ingenieria Electrica,9.34,4,natachaaldrich@ejemplo.com,21599279,F,oN6CRFMi
Angela Johnson,Licenciatura en Artes,8.93,7,angelajohnson@ejemplo.com,18572371,F,OoZJjY%S
Natacha Aldrich,Ingenieria Mecanica,13.81,1,natachaaldrich@ejemplo.com,22665117,F,[MH{rlA8
Miguel Diaz,Ingenieria Electrica,12.97,1,migueldiaz@ejemplo.com,20414023,M,v7ChqnwZ
Andreina Perez,Ingenieria Mecanica,12.97,6,andreinaperez@ejemplo.com,18045907,F,ma4PlTm]
Natacha Ortega,Ingenieria Mecanica,10.51,5,natachaortega@ejemplo.com,23011284,F,nF[jnF3w
Daniel Gonzalez,Licenciatura en Biologia,10.51,7,danielgonzalez@ejemplo.com,20683877,M,k9r;1GkI
Carlos Aldrich,Ingenieria Geologica,14.89,7,carlosaldrich@ejemplo.com,18470255,M,;2WIfK[I
Natacha Johnson,Licenciatura en Artes,9.34,7,natachajohnson@ejemplo.com,23642556,F,VQDf5Bg!
Isabel Tovar,Ingenieria Electrica,9.34,5,isabeltovar@ejemplo.com,24490378,F,ym{O4dl6
Jose Ortega,Licenciatura en Biologia,14.89,4,joseortega@ejemplo.com,24573974,M,X56qLB!F
Carlos Perez,Licenciatura en Biologia,12.97,3,carlosperez@ejemplo.com,22285722,M,bqO[l%CX
Andreina Tovar,Ingenieria Electrica,17.81,5,andreinatovar@ejemplo.com,22871534,F,9.38[G6]
Mary Aldrich,Ingenieria Electrica,17.81,3,maryaldrich@ejemplo.com,23174761,F,C2M!mdij
Richard Aldrich,Licenciatura en Artes,12.97,2,richardaldrich@ejemplo.com,20647681,M,ZhsRcsvw
Angela Brown,Letras,8.93,4,angelabrown@ejemplo.com,24129208,F,Y2ZRT!dw
Miguel Diaz,Ingenieria Geologica,10.51,6,migueldiaz@ejemplo.com,18273866,M,!TKqjtcN
Miguel Ortega,Licenciatura en Artes,8.93,6,miguelortega@ejemplo.com,19817761,M,6vpYYJNM
Angela Diaz,Licenciatura en Matematicas,14.89,4,angeladiaz@ejemplo.com,23211965,F,NZgS.vgW
Jose Diaz,Licenciatura en Matematicas,17.54,7,josediaz@ejemplo.com,21888799,M,lazcb4p}
Andreina Rangel,Letras,8.93,3,andreinarangel@ejemplo.com,20997077,F,d94F{7jt
Adriana Rangel,Letras,8.93,1,adrianarangel@ejemplo.com,25100564,F,gXbZ#Zqr
Camila Ortega,Licenciatura en Matematicas,9.34,1,camilaortega@ejemplo.com,24326890,F,LcKVSfL]
Richard Smith,Licenciatura en Artes,13.81,7,richardsmith@ejemplo.com,18894438,M,gHtMbJd6
Carolina Gutierrez,Ingenieria Electrica,11.29,3,carolinagutierrez@ejemplo.com,20263113,F,hmK9N4xQ
Angela Ortega,Ingenieria Mecanica,10.51,2,angelaortega@ejemplo.com,21193609,F,f#64hhpV
Carolina Ortega,Letras,15.23,5,carolinaortega@ejemplo.com,19878338,F,FFHS!#.k
Adriana Gutierrez,Letras,17.54,2,adrianagutierrez@ejemplo.com,24543804,F,hBxYvvJ7
Adriana Tovar,Letras,16.61,1,adrianatovar@ejemplo.com,24314824,F,nC6nQi6[
Mary Hernandez,Letras,11.29,4,maryhernandez@ejemplo.com,18211192,F,Z[6.kVtW
Mary Hernandez,Ingenieria Mecanica,17.54,1,maryhernandez@ejemplo.com,18754480,F,[}}Tlz2z
Isabel Rangel,Ingenieria Electrica,12.97,7,isabelrangel@ejemplo.com,25274292,F,JKldk[#G
Camila Sosa,Licenciatura en Artes,9.34,2,camilasosa@ejemplo.com,21493163,F,zM7ILxd5
