Nombre y Apellido,Asignatura,Experiencia (años),Resumen,Correo,Cedula,Sexo,Contraseña
Natacha Lowell,Matematica 1,10,"Ha sido profesor en MIT, Oxford y UCV",natachalowell@ejemplo.com,21537198,F,DIQ[sXf6
Vanessa Gutierrez,Fisica 2,5,"Tuvo un doctorado en Harvard a la edad de 30 años, ha hecho trabajos investigacion en su area de conocimiento por 7 años",vanessagutierrez@ejemplo.com,23561070,F,z!NX98[F
Andreina Rangel,Fisica 1,5,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",andreinarangel@ejemplo.com,22442674,F,[p}rwxw4
Camila Gonzalez,Programacion 1,11,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",camilagonzalez@ejemplo.com,18315239,F,FMqK{DYn
Vanessa Smith,Fisica 2,7,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",vanessasmith@ejemplo.com,24944112,F,2AASRzCH
Diego Diaz,Matematica 1,12,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",diegodiaz@ejemplo.com,25754822,M,61af]w4s
Richard Tovar,Matematica 2,11,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",richardtovar@ejemplo.com,23675531,M,[}AR[lDz
Alissa Lowell,Gramatica Castellana 1,7,"Ha sido profesor en MIT, Oxford y UCV",alissalowell@ejemplo.com,23631600,F,hTzXAhm2
Adriana Ortega,Quimica 3,12,"Ha sido profesor en MIT, Oxford y UCV",adrianaortega@ejemplo.com,21456149,F,mTprPDoY
Carolina Rangel,Quimica 2,12,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",carolinarangel@ejemplo.com,21425353,F,nbwo3hp#
Andreina Rangel,Matematica 2,7,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",andreinarangel@ejemplo.com,23449193,F,XPs;;d4B
Natacha Tovar,Introduccion a la filosofia occidental,7,Ha dado clase en 8 universidades distintas en todo el Reino Unido,natachatovar@ejemplo.com,23250811,F,T2FOxqTy
Vanessa Brown,Estudio de suelos volcanicos,13,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",vanessabrown@ejemplo.com,25160904,F,lr.r%H%.
Richard Gibss,Gramatica Castellana 1,10,Ha dado clase en 8 universidades distintas en todo el Reino Unido,richardgibss@ejemplo.com,19782473,M,TGpxhrSn
Miguel Gibss,Estudio de suelos volcanicos,17,Ha dado clase en 8 universidades distintas en todo el Reino Unido,miguelgibss@ejemplo.com,19932989,M,n[rqwt6O
Diego Perez,Quimica 2,10,"Tuvo un doctorado en Harvard a la edad de 30 años, ha hecho trabajos investigacion en su area de conocimiento por 7 años",diegoperez@ejemplo.com,22449377,M,b7ptD{1W
Carolina Hernandez,Geografia,8,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",carolinahernandez@ejemplo.com,19703605,F,]R}JcKl}
Adriana Rangel,Quimica 2,9,Ha dado clase en 8 universidades distintas en todo el Reino Unido,adrianarangel@ejemplo.com,20161322,F,bv#nQZK6
Vanessa Gutierrez,Matematica 2,13,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",vanessagutierrez@ejemplo.com,18604798,F,rH7s7y81
Adriana Perez,Fisiologia Vegetal,17,Ha dado clase en 8 universidades distintas en todo el Reino Unido,adrianaperez@ejemplo.com,19151543,F,dLbyOX;r
Alissa Rangel,Matematica 2,5,"Ha sido profesor en MIT, Oxford y UCV",alissarangel@ejemplo.com,19522654,F,%55soaTM
Natacha Smith,Introduccion a la filosofia occidental,10,"Ha sido profesor en MIT, Oxford y UCV",natachasmith@ejemplo.com,20008491,F,bW]mP2V.
Adriana Gibss,Fisica 2,8,"Tuvo un doctorado en Harvard a la edad de 30 años, ha hecho trabajos investigacion en su area de conocimiento por 7 años",adrianagibss@ejemplo.com,20887968,F,a45QcCBG
David Rangel,Matematica 3,12,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",davidrangel@ejemplo.com,23905699,M,TCtiNjT2
Natacha Diaz,Matematica 2,8,"Ha sido profesor en MIT, Oxford y UCV",natachadiaz@ejemplo.com,25351202,F,38C9d8Os
David Lowell,Estudio de suelos volcanicos,17,Ha dado clase en 8 universidades distintas en todo el Reino Unido,davidlowell@ejemplo.com,22410114,M,pdRgBAHy
Andreina Gutierrez,Geografia,8,"Ha sido profesor en MIT, Oxford y UCV",andreinagutierrez@ejemplo.com,18826259,F,p46xyKKT
Angela Gonzalez,Matematica 3,12,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",angelagonzalez@ejemplo.com,18977591,F,bgoB7liy
Andreina Gibss,Psicologia General 1,8,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",andreinagibss@ejemplo.com,22811192,F,7W3xHKTL
David Tovar,Fisiologia Vegetal,17,"Magister Scientiarum en varias del conocimiento, entre ellas, Biologia marina y Geografia",davidtovar@ejemplo.com,20201338,M,yqfc8d}O
